order_id,product_id,product_name,category,price
000e50be-92e8-46dc-9ff8-91a955b47ab7,PWPX0982761091093,Chocolate Milk,Supermarket,6.48
00243955-5e3f-49d7-beb7-e8452f1fe31d,PWPX0982761091086,Frozen Mozzarella,Supermarket,17.09
00f89d42-0bdd-471f-9fdc-70b86b344009,PWPX0982761090993,Ground Coffee,Supermarket,13.28
0128f8c1-e422-46f0-a233-8e36445518f5,PWPX0982761091005,Ketchup,Supermarket,17.79
0153b676-e29d-4d88-aeca-dfe4435d60f1,PWPX0982761091049,Baking Soda,Supermarket,19.55
0169654a-ae51-4d9a-86b8-a8f0c9b8d16f,PWPX0982761091068,Frozen Broccoli,Supermarket,11.26
0199be15-caf8-4a6a-9d37-da14fa2fdc95,PWPX0982761091018,Butter,Supermarket,3.85
019f0fc4-00ac-419e-aa4d-005a738c0197,PWPX0982761091105,Microsoft Surface Pro,Electronics,497.46
01b503a2-cd6d-4356-b296-c3669a8bbd1d,PWPX0982761091042,Shredded Carrots,Supermarket,13.83
02202dc8-99e9-4a8a-912d-887b5592760a,PWPX0982761091079,Canned Chickpeas,Supermarket,16.82
0227e55c-e7d5-46da-854e-65ad9d4f4af5,PWPX0982761091079,Canned Chickpeas,Supermarket,16.82
0227e55c-e7d5-46da-854e-65ad9d4f4af5,PWPX0982761091103,Amazon Echo Dot,Electronics,477.29
0244e4e9-3518-441c-b185-bf5f340329fb,PWPX0982761091113,Google Chromecast,Electronics,750.72
025167ad-6f30-421c-b07a-7dac320cfb78,PWPX0982761091052,Baby Spinach,Supermarket,16.67
02956bd3-91d2-40e0-a67f-314a8e41f02a,PWPX0982761091093,Chocolate Milk,Supermarket,6.48
02ba86f0-c0a4-427d-9ccd-e53a0b0e8ce5,PWPX0982761091083,Chia Seeds,Supermarket,8.21
03011ba7-3db3-457b-b767-4cb8b2d79be6,PWPX0982761091009,Beef Jerky,Supermarket,3.78
0332e806-5776-476f-8221-2e7b9df3c459,PWPX0982761091114,Sony WH-1000XM4 Headphones,Electronics,246.7
03492705-54a3-4768-94c7-fd57abcfcc2f,PWPX0982761091078,Frozen Shrimp,Supermarket,4.71
0354de18-d607-44f9-b22b-4733a7a48bf9,PWPX0982761091062,Bread Crumbs,Supermarket,19.8
044df3fc-a8be-473b-aea6-b9e85480c222,PWPX0982761091079,Canned Chickpeas,Supermarket,16.82
04525955-1b32-4fe4-9c33-4acefdc2187a,PWPX0982761091114,Sony WH-1000XM4 Headphones,Electronics,246.7
045980c1-c205-49e2-bd85-b5166acbd3ca,PWPX0982761091099,Samsung Galaxy S21,Electronics,783.07
